,2C_to_32cell_embryo2_9_split1_k0.1_r0.01,2C_to_32cell_embryo2_4_split2_k0.1_r0.01,2C_to_32cell_embryoMixed_2_k0.1_r0.01,2C_to_32cell_embryo3_2_split2_k0.1_r0.01,2C_to_32cell_embryo1_5_split2_k0.1_r0.01,2C_to_32cell_embryo2_10_split1_k0.1_r0.01,2C_to_32cell_embryo2_10_split2_k0.1_r0.01,2C_to_32cell_embryo1_3_split1_k0.1_r0.01,2C_to_32cell_embryo1_2_split1_k0.1_r0.01,2C_to_32cell_embryo2_7_split2_k0.1_r0.01,2C_to_32cell_embryoMixed_16_k0.1_r0.01,2C_to_32cell_embryo6_4_k0.1_r0.01,2C_to_32cell_embryo1_5_split1_k0.1_r0.01,2C_to_32cell_embryo1_4_split1_k0.1_r0.01,2C_to_32cell_embryoMixed_15_k0.1_r0.01,2C_to_32cell_embryo2_4_split1_k0.1_r0.01,2C_to_32cell_embryoMixed_19_k0.1_r0.01,2C_to_32cell_embryo6_6_k0.1_r0.01,2C_to_32cell_embryoMixed_10_k0.1_r0.01,2C_to_32cell_embryo6_8_k0.1_r0.01,2C_to_32cell_embryo4_1_k0.1_r0.01,2C_to_32cell_embryoMixed_20_k0.1_r0.01,2C_to_32cell_embryo5_4_k0.1_r0.01,2C_to_32cell_embryo1_7_split2_k0.1_r0.01,2C_to_32cell_embryo2_8_split1_k0.1_r0.01,2C_to_32cell_embryo4_2_k0.1_r0.01,2C_to_32cell_embryoMixed_1_k0.1_r0.01,2C_to_32cell_embryo2_8_split2_k0.1_r0.01,2C_to_32cell_embryoMixed_14_k0.1_r0.01,2C_to_32cell_embryo1_4_split2_k0.1_r0.01,2C_to_32cell_embryo6_2_k0.1_r0.01,2C_to_32cell_embryo1_1_split2_k0.1_r0.01,2C_to_32cell_embryoMixed_24_k0.1_r0.01,2C_to_32cell_embryo1_6_split1_k0.1_r0.01,2C_to_32cell_embryo2_5_split1_k0.1_r0.01,2C_to_32cell_embryo6_1_k0.1_r0.01,2C_to_32cell_embryoMixed_21_k0.1_r0.01,2C_to_32cell_embryoMixed_12_k0.1_r0.01,2C_to_32cell_embryo6_5_k0.1_r0.01,2C_to_32cell_embryo6_3_k0.1_r0.01,2C_to_32cell_embryo2_1_split1_k0.1_r0.01,2C_to_32cell_embryoMixed_9_k0.1_r0.01,2C_to_32cell_embryoMixed_8_k0.1_r0.01,2C_to_32cell_embryo1_8_split2_k0.1_r0.01,2C_to_32cell_embryoMixed_11_k0.1_r0.01,2C_to_32cell_embryo1_3_split2_k0.1_r0.01,2C_to_32cell_embryoMixed_23_k0.1_r0.01,2C_to_32cell_embryoMixed_3_k0.1_r0.01,2C_to_32cell_embryo1_7_split1_k0.1_r0.01,2C_to_32cell_embryo2_1_split2_k0.1_r0.01,2C_to_32cell_embryoMixed_5_k0.1_r0.01,2C_to_32cell_embryoMixed_7_k0.1_r0.01,2C_to_32cell_embryo1_1_split1_k0.1_r0.01,2C_to_32cell_embryoMixed_22_k0.1_r0.01,2C_to_32cell_embryo5_5_k0.1_r0.01,2C_to_32cell_embryo1_6_split2_k0.1_r0.01,2C_to_32cell_embryo4_3_k0.1_r0.01,2C_to_32cell_embryo4_4_k0.1_r0.01,2C_to_32cell_embryo2_5_split2_k0.1_r0.01,2C_to_32cell_embryoMixed_18_k0.1_r0.01,2C_to_32cell_embryo2_9_split2_k0.1_r0.01,2C_to_32cell_embryo3_4_split2_k0.1_r0.01,2C_to_32cell_embryo3_4_split1_k0.1_r0.01,2C_to_32cell_embryoMixed_13_k0.1_r0.01,2C_to_32cell_embryoMixed_17_k0.1_r0.01,2C_to_32cell_embryo5_3_k0.1_r0.01,2C_to_32cell_embryo4_5_k0.1_r0.01,2C_to_32cell_embryoMixed_4_k0.1_r0.01,2C_to_32cell_embryo1_2_split2_k0.1_r0.01,2C_to_32cell_embryo1_8_split1_k0.1_r0.01,2C_to_32cell_embryoMixed_6_k0.1_r0.01,2C_to_32cell_embryo6_7_k0.1_r0.01,2C_to_32cell_embryo2_7_split1_k0.1_r0.01
accoa,0.0,0.0,0.0035169632679498096,0.0027445692615236422,0.003685319656246016,0.003581761022283952,0.003631230945331467,0.0,0.0031872604974130785,0.0,0.0019682650669850576,0.0026848486014765505,0.0,0.003518194024096891,0.00284675115578434,0.0,0.0034448768137010557,0.0027741782145523286,0.0018729642246931213,0.0029550684694111045,6.684995177126558e-05,0.00420186947722904,0.0,0.002713566602269253,0.002959817746411689,0.0,0.002089056988596298,0.0034865408536818555,0.0035082755676543393,0.0,0.002692021872688034,0.0037577654727112266,0.0,0.0033984589252548008,0.00277519654929226,0.0,0.00368837298328048,0.0,0.0034421419298017834,0.00334486756849154,0.0035817035831859486,0.0,0.0037343425177802573,0.0036031709338864674,0.0,0.00011263526449522694,0.0016062637986755815,0.0035752339289400626,0.0025745260389671534,0.0033779318317841956,0.003941344569243702,0.0022972470037008427,0.003489408488176354,0.0,0.003517795143263105,0.0030228581810579744,0.003271354441053324,0.0,0.0,0.0036610740251537114,0.0019341193906685596,0.0015156781988951464,0.0036421200597549722,0.003181158373679925,0.0,0.003805124781375135,0.0027495438007962064,0.003628482895324397,0.002070317466965655,0.0035795974398078784,0.0038296609149374413,0.003625969403796208,0.0
ala-L,0.002152713653383785,0.0029982880301904864,0.0,0.013342458468335117,0.0,0.009283386343358976,0.0021859587134334863,0.0,0.011506453490151659,3.1001788356002424e-05,0.0070073344703115254,0.0032029412333695554,0.0,0.0,0.007552352182057669,0.0,0.0,0.005098723591803248,0.006252384356319463,0.022698247063017814,0.0024536546513966337,0.0,0.0006558716157353239,0.0,0.0,0.0,0.0,0.0,0.011510286997723126,0.003581859567052724,0.0,0.001765123713618961,0.0,0.0,0.001761453252242197,0.0,0.0,0.0,0.0069792159111422905,0.0,0.0015458089583434695,0.0,0.0013102716785325964,0.0,0.0015263109236258753,0.0,0.020651117594029197,0.004985515357354803,0.0,0.01597893967509615,0.0,0.0,0.0,0.0009706817618220478,0.0,0.004898921937114759,0.014447783885677874,0.001971221508424048,0.0,0.0,0.0,0.009288420186859922,0.005049720850294417,0.0034334359989047418,0.0,0.002496388222991041,0.0,0.0020805957937091554,0.0,0.0,0.015192259732327369,0.0,0.0012173466332406943
amet,0.0008450466740870378,0.0003865924471069059,0.0,0.0,0.0,0.0,0.0,0.0003625824628716357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00028919147771586177,0.0,0.0,0.0,0.0,0.0,0.0,0.0006433830728556935,0.00019529723485761346,0.00018888111172355576,0.0,0.000163884826343658,0.0,0.0,0.0,0.0001281530600479992,0.0,0.0013821806193409641,0.0,0.0,0.0,0.0,0.00019396490987700173,0.0,0.0,0.0,7.478791386816063e-05,0.0,0.0,0.0004349297143449608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007046032955514795,0.0,0.0,0.0,0.0009386205397811587,0.0,0.0,0.0,0.0,0.0,0.0,0.0003339008233982822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000864846904423416
amp,0.0,0.0,0.0,0.0005532209258356658,0.0,0.0,0.0,0.0,0.0,0.0,0.0006993403340659916,0.0,0.0,0.0,0.0024583914445665653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018589649431644186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022838392500671174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arg-L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002108212000387584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004304817260429468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
asn-L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010992859098151704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005403276293115452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
asp-L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
atp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023396375757184103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00047820575917055866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chsterol,0.0010027474026565078,0.0009747183253393055,0.0011101443747687128,0.0008132727062804045,0.0003409230975001001,0.0013399314428898805,0.0006105944180196277,0.0012211396583377027,0.002432766993749716,0.0013824416765638992,0.0016854950121700197,0.00019569346967845424,0.0004152997510109149,0.001398913529944743,0.0009463475335783006,0.0011159909156375023,0.001154193415635661,0.001291432650393914,0.00203127094740251,0.0018163036129906671,0.0015960117553061278,0.0016154580425981704,0.0012477273486634732,0.000613652722528704,0.0012204997441784106,0.0013170425505664362,3.499774140780748e-05,0.0004949100652082931,0.00247687198236377,0.001800684832276035,0.00039570431302547943,0.002460215510176767,0.00013199510124153367,0.0007554006306499981,0.0016072366209222404,0.0006197494331412899,0.0010912695638536714,0.001081505956157025,0.0018709782654458143,0.000711069717305164,0.0005131740807709476,0.00046844696225337607,0.0006455099175076374,0.0014152225563665592,0.0005209492793469216,0.001880331777977821,0.0020160652096868972,0.0007393246027093153,0.0013369665079641505,0.0009629504835359506,0.0016921795237261638,0.0007228566898679967,0.001394592002119901,0.0006509778307221761,0.0005056614155199981,0.00039496018756872463,0.0007911776566817673,6.123985885169045e-05,0.001660955221422776,0.0012476408576631835,0.0012331601738497762,0.0010908689496087298,0.0023276071817647922,0.0005696173170011137,6.514463722223429e-05,0.0005199585771555172,0.0011554267116469352,0.0007244893321033667,0.0024141933501398267,0.0012588326781805003,0.0018569587184716159,0.0021162781797996375,0.0005754543943638898
clpn_hs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cmp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1862289214103735e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.338675351695289e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cys-L,0.009192435696398174,0.010656224575710867,0.00815506323053375,0.029598135739564727,0.013212997285767577,0.027358856397481257,0.01548566527684247,0.010984811658509555,0.017790863222489656,0.004251831419867487,0.014152953520882467,0.015659988953958193,0.005113474237302321,0.009967978090055027,0.025158039941762925,0.007192230336584827,0.009978868039267962,0.020910672171510263,0.014386793717314958,0.026884961127330145,0.013890763208085443,0.036624603161156344,0.009491707061781993,0.00861578235788555,0.011460325031372348,0.006283744567910102,0.013462016685028081,0.017376623586661748,0.019362989130552913,0.010112335232391682,0.01465804281641586,0.017907839706223318,0.005840031024582849,0.012745025359268936,0.016765696711978008,0.018735124517985303,0.010801541619595715,0.01084769304872854,0.013534410171959308,0.02335300258031834,0.007568403439422772,0.011558186399101548,0.016476261843138943,0.014017463119788081,0.01498158081712104,0.0030634479631259015,0.02481150782446773,0.020724808657292454,0.005496110968649495,0.03306333787993366,0.007413551557404651,0.008123055192720477,0.006274815457621395,0.005306145325593057,0.007558623133158816,0.016087739421699426,0.02474038241431655,0.003478429832943903,0.007564300887129516,0.019293257486605524,0.0084290582638351,0.033127681859333534,0.025063264217974585,0.016832574441004697,0.009934318157665661,0.01575913119336042,0.010501288872888889,0.0170660242376463,0.00933174854430195,0.004856972319013421,0.022237583130759474,0.01005780694396966,0.010996747500643922
dag_hs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
damp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dcmp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dgmp,0.0,0.0,0.0,0.0,2.1527173838839407e-05,0.0,0.0,0.0,0.0,0.0,0.0,3.8490902012660344e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.097232753091204e-05,0.0001476771290618197,0.0,0.00033065907047459916,0.0,0.0,0.0,0.0006373003805038545,0.0,0.0,0.0003825056736258192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005986985465155397,0.0,0.0,0.0,0.0,0.0,0.0,0.0001957074401007211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00035537055087053575,0.0001857141997528691,0.0,0.0005622369702566834,0.0,0.0,0.0,0.0001888315061536817,0.0,0.0
dtmp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gh,0.00029780073565234967,0.0004906412657394876,0.0006588226156760328,0.00031616683176610797,0.00043836109930706557,0.0008726647408505502,0.0006363258693348958,0.0008563117310388485,0.0005009597459101095,0.00023380694468534395,7.868084743750709e-05,0.00039330783934239053,0.000161211277548096,0.0008405029211852565,0.0004131763260715327,0.0003983950148024794,0.0009922760119005876,0.0006532444064975727,5.969906898743754e-05,0.0007234041048911563,0.0009225170448522651,0.00014971608098600627,0.00030057158753556005,0.0003131480030859152,0.00017013078717710524,0.00024272576637147914,0.00045835962662290583,0.0008392714269081073,0.0005969063320704446,0.0,0.00038308935696040945,0.00011687473351793115,9.250674668163301e-05,0.0004555471630222503,0.0,0.0008428922663836897,0.0009432200130134181,0.00025283794809703535,5.6876960839981115e-05,0.0004512629128526907,0.0006542126821752531,0.00040277230536677334,0.0007731936304948557,0.0002735803965240339,0.0006059323301635106,0.0,0.0005880951384389023,0.00011213957943791995,5.411854618813025e-06,0.0009818337014903635,3.3595790316540204e-05,0.0,0.00042963043986444545,0.0003071744243835925,0.000732689390996906,0.0005057573737869858,0.0003811974183284107,0.00016649983013167756,0.0,0.0005759000651746609,0.0,0.0010737257350292271,0.0005229756544693799,0.0,0.0004809432071881193,0.00042121774053462515,4.8514528032440814e-05,0.0007068070434505639,0.00015207442531023636,0.00039646146011814153,0.0006722344991409724,9.578076841713631e-05,0.0005507606268347871
gln-L,0.0,0.0,0.0026174254798628804,0.0,0.0,0.0,0.0,0.0,0.010743244769497945,0.0,0.0,0.0,0.0,0.0023875024800506465,0.0,0.0,0.0009733117999633569,0.0,0.0,0.0,0.0,0.0,0.0,0.0010175881881179976,0.0,0.0,0.0,0.00344174095062925,0.005424987241805637,0.0020632144028715008,0.0,0.009485683735827862,0.0,0.0,0.009697686285529049,0.0,0.0,0.0,0.0,0.0,0.00018596054273679029,0.0,0.0,0.008643232978967904,0.0,0.0,0.0,0.0,0.0016375083456745174,0.0,0.002705855665053766,0.004532834520478787,0.006021987820083217,0.0,0.0013295131563269354,0.0,0.0,0.0,0.0,0.0,0.010207121471361384,0.0,0.010665613018822422,0.0,0.0,0.0014485989211100445,0.0,0.0,0.009118249674999222,0.0019775187162165016,0.0,0.007258275189298993,0.0
glu-L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00030496486447391077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016537787151561095,0.006036746776313902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014793977863223901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gly,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006942518389361283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007285314468973633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007067673769909455,0.0,0.0,0.0002766383833160756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004193159054013961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
glygn1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
