,2C_to_32cell_embryo2_9_split1_k0.1_r0.01,2C_to_32cell_embryo2_4_split2_k0.1_r0.01,2C_to_32cell_embryoMixed_2_k0.1_r0.01,2C_to_32cell_embryo3_2_split2_k0.1_r0.01,2C_to_32cell_embryo1_5_split2_k0.1_r0.01,2C_to_32cell_embryo2_10_split1_k0.1_r0.01,2C_to_32cell_embryo2_10_split2_k0.1_r0.01,2C_to_32cell_embryo1_3_split1_k0.1_r0.01,2C_to_32cell_embryo1_2_split1_k0.1_r0.01,2C_to_32cell_embryo2_7_split2_k0.1_r0.01,2C_to_32cell_embryoMixed_16_k0.1_r0.01,2C_to_32cell_embryo6_4_k0.1_r0.01,2C_to_32cell_embryo1_5_split1_k0.1_r0.01,2C_to_32cell_embryo1_4_split1_k0.1_r0.01,2C_to_32cell_embryoMixed_15_k0.1_r0.01,2C_to_32cell_embryo2_4_split1_k0.1_r0.01,2C_to_32cell_embryoMixed_19_k0.1_r0.01,2C_to_32cell_embryo6_6_k0.1_r0.01,2C_to_32cell_embryoMixed_10_k0.1_r0.01,2C_to_32cell_embryo6_8_k0.1_r0.01,2C_to_32cell_embryo4_1_k0.1_r0.01,2C_to_32cell_embryoMixed_20_k0.1_r0.01,2C_to_32cell_embryo5_4_k0.1_r0.01,2C_to_32cell_embryo1_7_split2_k0.1_r0.01,2C_to_32cell_embryo2_8_split1_k0.1_r0.01,2C_to_32cell_embryo4_2_k0.1_r0.01,2C_to_32cell_embryoMixed_1_k0.1_r0.01,2C_to_32cell_embryo2_8_split2_k0.1_r0.01,2C_to_32cell_embryoMixed_14_k0.1_r0.01,2C_to_32cell_embryo1_4_split2_k0.1_r0.01,2C_to_32cell_embryo6_2_k0.1_r0.01,2C_to_32cell_embryo1_1_split2_k0.1_r0.01,2C_to_32cell_embryoMixed_24_k0.1_r0.01,2C_to_32cell_embryo1_6_split1_k0.1_r0.01,2C_to_32cell_embryo2_5_split1_k0.1_r0.01,2C_to_32cell_embryo6_1_k0.1_r0.01,2C_to_32cell_embryoMixed_21_k0.1_r0.01,2C_to_32cell_embryoMixed_12_k0.1_r0.01,2C_to_32cell_embryo6_5_k0.1_r0.01,2C_to_32cell_embryo6_3_k0.1_r0.01,2C_to_32cell_embryo2_1_split1_k0.1_r0.01,2C_to_32cell_embryoMixed_9_k0.1_r0.01,2C_to_32cell_embryoMixed_8_k0.1_r0.01,2C_to_32cell_embryo1_8_split2_k0.1_r0.01,2C_to_32cell_embryoMixed_11_k0.1_r0.01,2C_to_32cell_embryo1_3_split2_k0.1_r0.01,2C_to_32cell_embryoMixed_23_k0.1_r0.01,2C_to_32cell_embryoMixed_3_k0.1_r0.01,2C_to_32cell_embryo1_7_split1_k0.1_r0.01,2C_to_32cell_embryo2_1_split2_k0.1_r0.01,2C_to_32cell_embryoMixed_5_k0.1_r0.01,2C_to_32cell_embryoMixed_7_k0.1_r0.01,2C_to_32cell_embryo1_1_split1_k0.1_r0.01,2C_to_32cell_embryoMixed_22_k0.1_r0.01,2C_to_32cell_embryo5_5_k0.1_r0.01,2C_to_32cell_embryo1_6_split2_k0.1_r0.01,2C_to_32cell_embryo4_3_k0.1_r0.01,2C_to_32cell_embryo4_4_k0.1_r0.01,2C_to_32cell_embryo2_5_split2_k0.1_r0.01,2C_to_32cell_embryoMixed_18_k0.1_r0.01,2C_to_32cell_embryo2_9_split2_k0.1_r0.01,2C_to_32cell_embryo3_4_split2_k0.1_r0.01,2C_to_32cell_embryo3_4_split1_k0.1_r0.01,2C_to_32cell_embryoMixed_13_k0.1_r0.01,2C_to_32cell_embryoMixed_17_k0.1_r0.01,2C_to_32cell_embryo5_3_k0.1_r0.01,2C_to_32cell_embryo4_5_k0.1_r0.01,2C_to_32cell_embryoMixed_4_k0.1_r0.01,2C_to_32cell_embryo1_2_split2_k0.1_r0.01,2C_to_32cell_embryo1_8_split1_k0.1_r0.01,2C_to_32cell_embryoMixed_6_k0.1_r0.01,2C_to_32cell_embryo6_7_k0.1_r0.01,2C_to_32cell_embryo2_7_split1_k0.1_r0.01
gmp,0.00018996155698992106,6.813036044980663e-05,0.0,0.0021894487180592163,0.0,0.0015499005156338775,0.0,0.0,0.0,0.0,0.003695647340765712,0.0,0.00023022277914436166,0.0,0.001572272975667775,0.0,0.0,0.003056842085165386,0.004866207532720146,0.0022829857733735618,0.0,0.0,0.000594194490624662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007971640854248124,0.0,0.0,0.0,0.0005753520392413358,0.003511236061816078,0.001982277413034339,0.0,0.0,0.0018067976030929087,0.0,0.00026042313105863863,0.0,0.001903082939524434,0.0,0.0,0.0010142665216192474,0.0,0.0,0.0,0.000559992002429177,0.0,0.0,1.0682777253002112e-05,0.0,0.0,0.0,0.0,0.001442804113148462,0.0,0.00010137260624183353,0.0001883594027713295,0.0,0.0,0.0009863228024007756,0.0,0.0,0.0007077179455868331,0.0,0.0
gthox,0.0008743776918870556,0.0007733370285120593,0.002904674422339312,0.0006278579384343257,0.0035258450038264458,0.0024149966496172285,0.0036490487165759013,0.00036267607979071454,0.0023947919366247845,0.0016437905849411528,0.0074387901463896094,0.0005937360345305541,0.0,0.0030615572680025823,0.0008732526790070365,0.0006287866712611258,0.0036441345131964066,0.001718510399251325,0.0063190683517670284,0.0033230148320134377,0.0005736625026706106,0.0,0.0011985266015326046,0.003141536383142173,0.003487466842528565,0.000859632679685072,0.00015711598755267263,0.002491715437017424,0.0028226449447612705,0.0009519748991280281,0.003746971151235985,0.0019419610729280237,0.0011848158941178302,0.005646382741444673,0.003947107430567929,0.0,0.003704509592396767,0.00014718815259190092,0.0018645387014918145,0.004604439886700278,0.003123445872475752,0.0,0.004590976911510274,0.006123401800525521,0.0,0.0009762286120409797,0.006253928827617087,0.004651013165864616,0.005009647206542273,0.0,0.0026933560104966123,0.0010101795753046506,0.005811822080654318,0.0002892226920403816,0.0024859344095838586,0.004253253600439466,0.003546699590336261,0.00042589687824158996,0.0,0.004746885735535075,0.0022833468093872767,0.0,0.0,0.003995299426992188,0.0,0.002590797179756682,0.003451218217637809,0.004819118260410948,0.004668168635291165,0.004898254101015257,0.0018414770709648074,0.0020409118897272748,0.0
gthrd,0.003057024258949133,0.0028351030413818535,0.0,0.007759555007614753,0.0,0.006181933261582867,0.0,0.006197995429911388,0.0,0.0007136352133758751,0.0,0.007611923577082177,0.0019014082906696267,0.0,0.005722683279701201,0.0011181322561437154,0.0,0.005121058588798468,0.0036023862899408335,0.0,0.0036302249624239886,0.009768191946728599,0.0022887238058486134,0.0,0.0,0.0009267879725010709,0.0070394527754457405,0.0,0.0,0.0003286813618915806,0.0,0.005825850148540739,0.0,0.0,0.0,0.007953898942046459,0.0,0.004427135724834134,0.004068872708741312,0.0,0.0,0.002531785624011269,0.0,0.0,0.0019196580926637162,0.002315349809027722,0.0,0.0005642403533041342,0.0,0.00804114239377465,0.004320559775463008,0.006794859344647632,0.0,0.001412990623377777,0.0,0.0,0.0,0.0,0.005685446674994464,0.0,0.00471260149923685,0.007576639529622381,0.009317542195902336,0.0,0.004524074201966911,0.0,0.0,0.0013974975898114943,0.003118881833503002,0.0,0.005278866755424044,0.006692777545195433,0.002872940829104116
h2o,0.005621793287959411,0.0047880851068448724,0.0,0.0,0.0,0.004157380659453619,0.0,0.008780641938156902,0.006979546402007412,0.016304099928278817,0.0018897481878112322,0.0,0.002536492945530484,0.0,0.0,0.009887347297214638,0.0,0.0,0.0,0.0,0.01608949606964392,0.022640174253566764,0.0038724134542594637,0.0,0.0,0.010129760232053262,0.0,0.0,0.008559277144344037,0.022027187477647387,0.0,0.0014508045141434153,0.0,0.0,0.007277530556000509,0.02138659847330321,0.0,0.00457351377669029,0.000214284023069053,0.0,0.0,0.005633105608128473,0.0,0.005126840980019308,0.002463889028988304,0.031410453337473804,0.004951512343443745,0.0,0.00032805955663784184,0.0,0.0003898227743005562,0.0,0.003166195800976195,0.0,0.0,0.0,0.0,0.0,0.02052467375658838,0.0,0.0026982069643897047,0.00667823041534457,0.005612718829944555,0.0,0.005663702467937565,0.0,0.0,0.0,0.008655196930153469,0.0,0.006772499936918046,0.0026928049255499713,0.004160963783814072
his-L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3652649796167285e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2923356057178182e-05,0.0,0.0,0.0
ile-L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2150161676905208e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
leu-L,0.0017404821640391816,0.002233079496995288,0.0,0.0,0.0,0.0,0.0,0.0045531237742396195,0.0,0.0005854235373736224,0.0,0.0,0.001310289144142376,0.0,0.0,0.00102846870529208,0.0,0.0,0.0,0.0,0.0025737041794942394,0.0,0.0012996453990843937,0.0,0.0,0.0006268544132532328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002675458105770036,0.0,0.0020126180542543552,0.0,0.0,0.0,0.0009718835994143995,0.0,0.0,0.0009454495529593257,0.00625539317561602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00968883754550474,0.0,0.0,0.0,0.0,0.0,0.0018833460115723637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005820383216077567
lpchol_hs,0.0,0.0,0.0,0.0,2.468274606126911e-06,0.0,0.0,0.0,0.0,0.0,0.00044734595465032855,0.0002398565540723657,0.0,0.0,4.874189948033223e-05,0.0,0.0,0.0,0.0009118123345684961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3052744190536295e-06,0.0,0.0,0.000598002396106215,0.0,0.0,0.0,0.0,0.0,0.0011033216453459056,0.0,0.0,0.0007922220081226505,0.0,0.0,0.0,0.0003440619198669694,0.0007848442817882149,0.0,0.00018759319420147728,0.0,0.0,0.0,6.312468798915722e-06,0.0,1.5252688093547554e-08,0.00010390129398078619,0.00011873940588489831,0.0,0.0,0.0,0.0,0.0,0.0005856588415017519,0.0,0.0,0.0,0.0004726586859526557,0.0,0.0,0.0,0.0,0.0
lys-L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2150161676905762e-05,0.0,0.0,0.0,0.0,0.0,0.00010699208297343294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mag_hs,0.0,0.0,0.001721798848196088,0.0013057552589117558,0.0014037047285325238,0.0,0.0019864525727492704,0.0,0.0010658947003048611,0.00073162100604342,0.0,0.004620540604959451,0.0,0.0016487346573896768,0.0008178772002573049,0.0,0.0015563999303288933,0.0013410297951461,0.0,0.0,0.0,0.0,0.0,0.0024171327127879283,0.0016051750591173823,0.0,0.0036775441062606522,0.0017036276674929083,0.001126281630429393,0.010746106246980552,0.0015311574217677286,0.0017162242600068456,0.0,0.0006768425150053469,0.0016600908734141543,0.0,0.0017482713968604954,0.0,0.0,0.000603536927031038,0.00199662724511349,0.0,0.0004324259808673449,0.0012193061044506852,0.0,0.0,0.0,0.00042354877998667317,0.0019035100305821045,0.0,0.0019211610992211415,0.0058094753336091,0.0012061641942418078,0.0,0.002010203393718355,0.0016801743247414208,0.0,0.0,0.0,0.0019232484548330393,0.005809056640833345,0.0005200641057419703,0.00078289894439661,0.001188734364377525,0.0,0.001955525336308782,0.0014968418824670825,0.0005868126444022885,0.0020236181292101313,0.0017985393207003127,0.0,0.0017464118315959388,0.0
met-L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nadh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0464072731882497e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007609826371437523,0.0,0.0,0.0,0.0,0.0,0.0
nadph,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010039351579683099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5595972129553396e-05,0.0,0.0,0.0011194158976920753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016016335982946437,0.0,0.0,0.0,0.00035514685856076933,0.0,0.0,0.0,0.0,0.0,0.0,0.0006497996575310211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003644634574976959
nmn,0.006239078117393418,0.005053805448687338,0.011899368834835602,0.01018093030275317,0.005503664397180354,0.016860674605043306,0.013804386788591364,0.007821407123096522,0.0181713235048768,0.010260490003534047,0.011488558801241104,0.012115972492076858,0.0014780958678788155,0.013510685385290173,0.01309417268945914,0.007779145034580475,0.012935962694891516,0.013855788981821347,0.011023649993289,0.01426779781842739,0.01268739966977657,0.010411186863344616,0.005759384819451369,0.010669648871592663,0.01156837456629482,0.007178508107784554,0.0076515255520687425,0.006495895757554901,0.02212634145472012,0.02361593996139021,0.00817119479054411,0.01691566778729548,0.0017682693534883402,0.009397549578763216,0.015726653988175125,0.011153005407039725,0.013857806781410114,0.003389532630937769,0.011519281639296528,0.012455416126847222,0.008423682123229203,0.0029234829573476354,0.01107900070959824,0.016747049090885372,0.0032405332779588095,0.007141508651567959,0.010543495226864928,0.011411428987024455,0.01670928415423997,0.00607855063175204,0.012072572729069034,0.014325327522500129,0.020499286392406783,0.001646807295665487,0.008052166238879775,0.012765725934345726,0.011829775494245095,0.0007714655150450359,0.009763398493527774,0.018465791512845085,0.017741526823780475,0.01013823975597089,0.016383441700678972,0.009195080127701245,0.004305750926331203,0.012555857135065865,0.007413710351174187,0.00930395125456962,0.021712504609850424,0.016277867192514048,0.016230205262103236,0.018118446616504802,0.005956909872262882
pa_hs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7631984069355754e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pail_hs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pchol_hs,0.0,0.0,0.0,0.00032960640831918757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.748029663368911e-06,0.0,0.0,0.0002136307922325157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008198150296686369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.210679706037835e-05,0.0,0.0,0.0,0.0011817796822163533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pe_hs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
phe-L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pro-L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018149521025054112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019243962872683026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012865847401453013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ps_hs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ser-L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.369505905207211e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006566010497984407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sphmyln_hs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010722482583614849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tag_hs,0.0,0.0,0.0006685103860508096,0.0,0.0006210266780783758,0.0,0.0007885088139870456,0.0,0.0,0.0,0.0,0.0,0.0,0.0006931209880325676,0.0,0.0,0.0007093007779390891,0.0,0.0,0.0,0.0,0.0,0.0,0.0008718672430524324,0.0007351235176492612,0.0,0.0,0.000762002142975225,0.0,0.0,0.0007540875708754375,0.0,0.0,0.0002793528232353924,8.497444080700056e-05,0.0,0.0007568582400524773,0.0,0.0,0.0,0.0009136791729162894,0.0,7.020404760288437e-05,0.0,0.0,0.0,0.0,7.771424699577311e-05,0.0008224933514712736,0.0,0.00022753274386828478,0.0,0.0,0.0,0.0007978512330233604,0.0007645606091616852,0.0,0.0,0.0,0.0007003085209480969,0.0,0.0,0.0,0.00038605657084874454,0.0,0.0007207659953265355,0.0007090614705300449,0.00031435718494813116,1.1244089868651449e-05,0.0008131731295996443,0.0,0.0,0.0
thr-L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trp-L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tyr-L,0.003932104849189928,0.003472593896335695,0.017192199171471478,0.029804907886566895,0.011581195702050939,0.040397180819950675,0.026996134237507866,0.010271621095095702,0.06643871769297777,0.018089625414854697,0.014988947920080082,0.023330699506265526,0.003121931599876195,0.022741483547688682,0.028882525901317825,0.010275863057067864,0.023081462458395145,0.03115118555444691,0.012977220502303977,0.034126849610226974,0.026769428335502752,0.02536907824413536,0.0020034503318625742,0.010293691724812246,0.012429232199043782,0.009997895760001452,0.013475758301263229,0.020895399102332016,0.060562843138981706,0.05602607243560725,0.013961058600848139,0.04443573744430336,0.0,0.013723578955164831,0.058376767529259764,0.01776213593105197,0.033696616430676465,0.0031569550448853102,0.020056482321351758,0.0230435444639968,0.01710427212567937,0.003422248260521454,0.011788017112664832,0.044293471189390775,0.002867452431255563,0.0068788377746595705,0.027464628381245575,0.02549618115187271,0.019842004440663256,0.027452873371767352,0.017436223043346084,0.03219050848301913,0.034192270024044215,0.0,0.01007869553763116,0.021906099470985985,0.033665535184575095,0.0,0.009297170228941595,0.0430361439141726,0.044928086095035576,0.039379918624050714,0.06670023144320825,0.02184227956338885,0.002386605807593576,0.02903059161410695,0.009224410390760338,0.014176954512797324,0.0496847982922912,0.02024511869357405,0.043788172675216584,0.03869344326667846,0.0031402088520515697
ump,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
val-L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2150161676905258e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001470259521032229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xolest_hs,0.0,9.624868949547027e-07,0.0,4.523804200174447e-06,0.0,0.0002613131150145257,0.0,0.0,0.0010041727799491003,0.0,0.0006536231170671669,0.0,0.0,0.0,0.0,3.150155148068265e-05,0.0,0.0,0.00020460976897452012,0.00041561369039651216,5.1977998449068616e-05,0.00039072358105778765,0.0,0.0,0.0,0.0,0.0,0.0,0.0010119035441190046,0.0,0.0,0.0002631012232888399,0.0,0.0,0.0007959845840230055,0.0013590533957778866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009765508431190135,7.961713535560529e-06,3.0007107654612095e-05,0.00081972641034199,0.0,0.0,0.00016362944871283543,0.000259097230043543,6.185244464013205e-05,0.0009974641701795057,0.0,0.0,0.0,0.0003381881159805892,0.0,0.0,0.0,1.040222083877695e-05,0.0,0.0006653478820484379,0.0,0.0006405215408007752,0.0,0.0,0.0,0.0008223129049580876,0.0,0.00012446618540799673,0.0003793495168915134,0.0
